name,state,latitude,longitude,safety_guidelines,cultural_guidelines,tech_guidelines
Golden Temple,Punjab,31.62,74.8765,Stay alert for pickpockets and avoid isolated areas around Golden Temple.,"Respect local customs in Punjab, and dress modestly when visiting Golden Temple.",Carry offline maps as internet may be unreliable near Golden Temple.
Meenakshi Temple,Tamil Nadu,9.9195,78.1196,Stay alert for pickpockets and avoid isolated areas around Meenakshi Temple.,"Respect local customs in Tamil Nadu, and dress modestly when visiting Meenakshi Temple.",Carry offline maps as internet may be unreliable near Meenakshi Temple.
Charminar,Telangana,17.3616,78.4747,Stay alert for pickpockets and avoid isolated areas around Charminar.,"Respect local customs in Telangana, and dress modestly when visiting Charminar.",Carry offline maps as internet may be unreliable near Charminar.
Golconda Fort,Telangana,17.3833,78.4011,Stay alert for pickpockets and avoid isolated areas around Golconda Fort.,"Respect local customs in Telangana, and dress modestly when visiting Golconda Fort.",Carry offline maps as internet may be unreliable near Golconda Fort.
Mysore Palace,Karnataka,12.3051,76.6551,Stay alert for pickpockets and avoid isolated areas around Mysore Palace.,"Respect local customs in Karnataka, and dress modestly when visiting Mysore Palace.",Carry offline maps as internet may be unreliable near Mysore Palace.
Hampi,Karnataka,15.335,76.46,Stay alert for pickpockets and avoid isolated areas around Hampi.,"Respect local customs in Karnataka, and dress modestly when visiting Hampi.",Carry offline maps as internet may be unreliable near Hampi.
Victoria Memorial,West Bengal,22.5448,88.3426,Stay alert for pickpockets and avoid isolated areas around Victoria Memorial.,"Respect local customs in West Bengal, and dress modestly when visiting Victoria Memorial.",Carry offline maps as internet may be unreliable near Victoria Memorial.
Howrah Bridge,West Bengal,22.5852,88.3468,Stay alert for pickpockets and avoid isolated areas around Howrah Bridge.,"Respect local customs in West Bengal, and dress modestly when visiting Howrah Bridge.",Carry offline maps as internet may be unreliable near Howrah Bridge.
Konark Sun Temple,Odisha,19.8876,86.0945,Stay alert for pickpockets and avoid isolated areas around Konark Sun Temple.,"Respect local customs in Odisha, and dress modestly when visiting Konark Sun Temple.",Carry offline maps as internet may be unreliable near Konark Sun Temple.
Jagannath Temple Puri,Odisha,19.8048,85.8182,Stay alert for pickpockets and avoid isolated areas around Jagannath Temple Puri.,"Respect local customs in Odisha, and dress modestly when visiting Jagannath Temple Puri.",Carry offline maps as internet may be unreliable near Jagannath Temple Puri.
Khajuraho Temples,Madhya Pradesh,24.8522,79.9224,Stay alert for pickpockets and avoid isolated areas around Khajuraho Temples.,"Respect local customs in Madhya Pradesh, and dress modestly when visiting Khajuraho Temples.",Carry offline maps as internet may be unreliable near Khajuraho Temples.
Sanchi Stupa,Madhya Pradesh,23.4792,77.7397,Stay alert for pickpockets and avoid isolated areas around Sanchi Stupa.,"Respect local customs in Madhya Pradesh, and dress modestly when visiting Sanchi Stupa.",Carry offline maps as internet may be unreliable near Sanchi Stupa.
Ajanta Caves,Maharashtra,20.5511,75.7033,Stay alert for pickpockets and avoid isolated areas around Ajanta Caves.,"Respect local customs in Maharashtra, and dress modestly when visiting Ajanta Caves.",Carry offline maps as internet may be unreliable near Ajanta Caves.
Ellora Caves,Maharashtra,20.0259,75.1784,Stay alert for pickpockets and avoid isolated areas around Ellora Caves.,"Respect local customs in Maharashtra, and dress modestly when visiting Ellora Caves.",Carry offline maps as internet may be unreliable near Ellora Caves.
Elephanta Caves,Maharashtra,18.9634,72.9315,Stay alert for pickpockets and avoid isolated areas around Elephanta Caves.,"Respect local customs in Maharashtra, and dress modestly when visiting Elephanta Caves.",Carry offline maps as internet may be unreliable near Elephanta Caves.
Mahabodhi Temple,Bihar,24.6961,84.9912,Stay alert for pickpockets and avoid isolated areas around Mahabodhi Temple.,"Respect local customs in Bihar, and dress modestly when visiting Mahabodhi Temple.",Carry offline maps as internet may be unreliable near Mahabodhi Temple.
Nalanda University Ruins,Bihar,25.135,85.4446,Stay alert for pickpockets and avoid isolated areas around Nalanda University Ruins.,"Respect local customs in Bihar, and dress modestly when visiting Nalanda University Ruins.",Carry offline maps as internet may be unreliable near Nalanda University Ruins.
Varanasi Ghats,Uttar Pradesh,25.3076,83.01,Stay alert for pickpockets and avoid isolated areas around Varanasi Ghats.,"Respect local customs in Uttar Pradesh, and dress modestly when visiting Varanasi Ghats.",Carry offline maps as internet may be unreliable near Varanasi Ghats.
Fatehpur Sikri,Uttar Pradesh,27.0945,77.6631,Stay alert for pickpockets and avoid isolated areas around Fatehpur Sikri.,"Respect local customs in Uttar Pradesh, and dress modestly when visiting Fatehpur Sikri.",Carry offline maps as internet may be unreliable near Fatehpur Sikri.
Agra Fort,Uttar Pradesh,27.1795,78.0211,Stay alert for pickpockets and avoid isolated areas around Agra Fort.,"Respect local customs in Uttar Pradesh, and dress modestly when visiting Agra Fort.",Carry offline maps as internet may be unreliable near Agra Fort.
Statue of Unity,Gujarat,21.838,73.7191,Stay alert for pickpockets and avoid isolated areas around Statue of Unity.,"Respect local customs in Gujarat, and dress modestly when visiting Statue of Unity.",Carry offline maps as internet may be unreliable near Statue of Unity.
Sabarmati Ashram,Gujarat,23.061,72.5802,Stay alert for pickpockets and avoid isolated areas around Sabarmati Ashram.,"Respect local customs in Gujarat, and dress modestly when visiting Sabarmati Ashram.",Carry offline maps as internet may be unreliable near Sabarmati Ashram.
Cellular Jail,Andaman and Nicobar Islands,11.6722,92.7431,Stay alert for pickpockets and avoid isolated areas around Cellular Jail.,"Respect local customs in Andaman and Nicobar Islands, and dress modestly when visiting Cellular Jail.",Carry offline maps as internet may be unreliable near Cellular Jail.
Vivekananda Rock Memorial,Tamil Nadu,8.0781,77.5552,Stay alert for pickpockets and avoid isolated areas around Vivekananda Rock Memorial.,"Respect local customs in Tamil Nadu, and dress modestly when visiting Vivekananda Rock Memorial.",Carry offline maps as internet may be unreliable near Vivekananda Rock Memorial.
Brihadeeswara Temple,Tamil Nadu,10.7828,79.1318,Stay alert for pickpockets and avoid isolated areas around Brihadeeswara Temple.,"Respect local customs in Tamil Nadu, and dress modestly when visiting Brihadeeswara Temple.",Carry offline maps as internet may be unreliable near Brihadeeswara Temple.
Tirumala Venkateswara Temple,Andhra Pradesh,13.6833,79.35,Stay alert for pickpockets and avoid isolated areas around Tirumala Venkateswara Temple.,"Respect local customs in Andhra Pradesh, and dress modestly when visiting Tirumala Venkateswara Temple.",Carry offline maps as internet may be unreliable near Tirumala Venkateswara Temple.
Kerala Backwaters Alleppey,Kerala,9.5015,76.3522,Stay alert for pickpockets and avoid isolated areas around Kerala Backwaters Alleppey.,"Respect local customs in Kerala, and dress modestly when visiting Kerala Backwaters Alleppey.",Carry offline maps as internet may be unreliable near Kerala Backwaters Alleppey.
Dal Lake,Jammu and Kashmir,34.1032,74.8548,Stay alert for pickpockets and avoid isolated areas around Dal Lake.,"Respect local customs in Jammu and Kashmir, and dress modestly when visiting Dal Lake.",Carry offline maps as internet may be unreliable near Dal Lake.
Pangong Tso,Ladakh,33.7583,78.6644,Stay alert for pickpockets and avoid isolated areas around Pangong Tso.,"Respect local customs in Ladakh, and dress modestly when visiting Pangong Tso.",Carry offline maps as internet may be unreliable near Pangong Tso.
Leh Palace,Ladakh,34.1645,77.5866,Stay alert for pickpockets and avoid isolated areas around Leh Palace.,"Respect local customs in Ladakh, and dress modestly when visiting Leh Palace.",Carry offline maps as internet may be unreliable near Leh Palace.
Shimla Mall Road,Himachal Pradesh,31.1039,77.1721,Stay alert for pickpockets and avoid isolated areas around Shimla Mall Road.,"Respect local customs in Himachal Pradesh, and dress modestly when visiting Shimla Mall Road.",Carry offline maps as internet may be unreliable near Shimla Mall Road.
Hadimba Temple Manali,Himachal Pradesh,32.2497,77.1843,Stay alert for pickpockets and avoid isolated areas around Hadimba Temple Manali.,"Respect local customs in Himachal Pradesh, and dress modestly when visiting Hadimba Temple Manali.",Carry offline maps as internet may be unreliable near Hadimba Temple Manali.
Darjeeling Himalayan Railway,West Bengal,27.0422,88.2632,Stay alert for pickpockets and avoid isolated areas around Darjeeling Himalayan Railway.,"Respect local customs in West Bengal, and dress modestly when visiting Darjeeling Himalayan Railway.",Carry offline maps as internet may be unreliable near Darjeeling Himalayan Railway.
Kaziranga National Park,Assam,26.6667,93.3667,Stay alert for pickpockets and avoid isolated areas around Kaziranga National Park.,"Respect local customs in Assam, and dress modestly when visiting Kaziranga National Park.",Carry offline maps as internet may be unreliable near Kaziranga National Park.
Sundarbans National Park,West Bengal,21.9497,88.8943,Stay alert for pickpockets and avoid isolated areas around Sundarbans National Park.,"Respect local customs in West Bengal, and dress modestly when visiting Sundarbans National Park.",Carry offline maps as internet may be unreliable near Sundarbans National Park.
Jim Corbett National Park,Uttarakhand,29.5312,78.7749,Stay alert for pickpockets and avoid isolated areas around Jim Corbett National Park.,"Respect local customs in Uttarakhand, and dress modestly when visiting Jim Corbett National Park.",Carry offline maps as internet may be unreliable near Jim Corbett National Park.
Ranthambore National Park,Rajasthan,26.0173,76.5026,Stay alert for pickpockets and avoid isolated areas around Ranthambore National Park.,"Respect local customs in Rajasthan, and dress modestly when visiting Ranthambore National Park.",Carry offline maps as internet may be unreliable near Ranthambore National Park.
Gir National Park,Gujarat,21.1656,70.8173,Stay alert for pickpockets and avoid isolated areas around Gir National Park.,"Respect local customs in Gujarat, and dress modestly when visiting Gir National Park.",Carry offline maps as internet may be unreliable near Gir National Park.
Kanha National Park,Madhya Pradesh,22.3347,80.6347,Stay alert for pickpockets and avoid isolated areas around Kanha National Park.,"Respect local customs in Madhya Pradesh, and dress modestly when visiting Kanha National Park.",Carry offline maps as internet may be unreliable near Kanha National Park.
Periyar National Park,Kerala,9.4678,77.1437,Stay alert for pickpockets and avoid isolated areas around Periyar National Park.,"Respect local customs in Kerala, and dress modestly when visiting Periyar National Park.",Carry offline maps as internet may be unreliable near Periyar National Park.
Bandipur National Park,Karnataka,11.6655,76.6346,Stay alert for pickpockets and avoid isolated areas around Bandipur National Park.,"Respect local customs in Karnataka, and dress modestly when visiting Bandipur National Park.",Carry offline maps as internet may be unreliable near Bandipur National Park.
Rock Garden of Chandigarh,Chandigarh,30.7528,76.8101,Stay alert for pickpockets and avoid isolated areas around Rock Garden of Chandigarh.,"Respect local customs in Chandigarh, and dress modestly when visiting Rock Garden of Chandigarh.",Carry offline maps as internet may be unreliable near Rock Garden of Chandigarh.
Jallianwala Bagh,Punjab,31.621,74.8801,Stay alert for pickpockets and avoid isolated areas around Jallianwala Bagh.,"Respect local customs in Punjab, and dress modestly when visiting Jallianwala Bagh.",Carry offline maps as internet may be unreliable near Jallianwala Bagh.
Wagah Border,Punjab,31.605,74.5719,Stay alert for pickpockets and avoid isolated areas around Wagah Border.,"Respect local customs in Punjab, and dress modestly when visiting Wagah Border.",Carry offline maps as internet may be unreliable near Wagah Border.
Marina Beach,Tamil Nadu,13.051,80.2825,Stay alert for pickpockets and avoid isolated areas around Marina Beach.,"Respect local customs in Tamil Nadu, and dress modestly when visiting Marina Beach.",Carry offline maps as internet may be unreliable near Marina Beach.
Chittor Fort,Rajasthan,24.8871,74.6444,Stay alert for pickpockets and avoid isolated areas around Chittor Fort.,"Respect local customs in Rajasthan, and dress modestly when visiting Chittor Fort.",Carry offline maps as internet may be unreliable near Chittor Fort.
